Barcode,Item ID,Description,Transfers Count,Total Qty Transferred,Sample Routes
"1006165501221","ITEM-1006165501221","STN Item (1006165501221)",5,26,"C40001 -> P10001, C40001 -> P10003, C40001 -> P10002"
"4571633328411","ITEM-4571633328411","STN Item (4571633328411)",6,6,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328435","ITEM-4571633328435","STN Item (4571633328435)",6,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328442","ITEM-4571633328442","STN Item (4571633328442)",6,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328466","ITEM-4571633328466","STN Item (4571633328466)",6,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328473","ITEM-4571633328473","STN Item (4571633328473)",6,6,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328503","ITEM-4571633328503","STN Item (4571633328503)",6,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633328534","ITEM-4571633328534","STN Item (4571633328534)",6,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633332265","ITEM-4571633332265","STN Item (4571633332265)",2,2,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332289","ITEM-4571633332289","STN Item (4571633332289)",2,4,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332296","ITEM-4571633332296","STN Item (4571633332296)",2,2,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332326","ITEM-4571633332326","STN Item (4571633332326)",2,4,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332333","ITEM-4571633332333","STN Item (4571633332333)",2,2,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332340","ITEM-4571633332340","STN Item (4571633332340)",3,4,"SS1002 -> SS1011, C40001 -> SS1002, C40001 -> SS1006"
"4571633332364","ITEM-4571633332364","STN Item (4571633332364)",2,3,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332371","ITEM-4571633332371","STN Item (4571633332371)",2,2,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332388","ITEM-4571633332388","STN Item (4571633332388)",1,2,"C40001 -> SS1002"
"4571633332401","ITEM-4571633332401","STN Item (4571633332401)",2,2,"C40001 -> SS1002, C40001 -> SS1006"
"4571633332432","ITEM-4571633332432","STN Item (4571633332432)",1,1,"C40001 -> SS1002"
"4571633334146","ITEM-4571633334146","STN Item (4571633334146)",7,12,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633334153","ITEM-4571633334153","STN Item (4571633334153)",7,10,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633334177","ITEM-4571633334177","STN Item (4571633334177)",7,7,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633334245","ITEM-4571633334245","STN Item (4571633334245)",7,14,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350566","ITEM-4571633350566","STN Item (4571633350566)",7,12,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350573","ITEM-4571633350573","STN Item (4571633350573)",7,16,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350597","ITEM-4571633350597","STN Item (4571633350597)",7,8,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350603","ITEM-4571633350603","STN Item (4571633350603)",7,16,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350689","ITEM-4571633350689","STN Item (4571633350689)",6,7,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350702","ITEM-4571633350702","STN Item (4571633350702)",6,6,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633350733","ITEM-4571633350733","STN Item (4571633350733)",6,6,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
"4571633351259","ITEM-4571633351259","STN Item (4571633351259)",7,10,"C40001 -> SS1002, C40001 -> SS1006, C40001 -> SS1005"
