CODE,MAIN,DEBIT,CREDIT,CODE,CONTROL ACCOUNT,DEBIT,CREDIT,CODE,SUB CONTROL ACCOUNT,DEBIT,CREDIT,CODE,TAG ID,GL DESCRIPTION,DEBIT,CREDIT,
1,CAPITAL," 20,030,002 "," 1,001 ",10,SHARE HOLDERS' EQUITY, -   ," 20,030,002 ",1001,SHARE CAPITAL & RESERVES , -   , -   ,10010001,,AUTHORIZED CAPITAL , -   ," 73,370,900 ",
,,,,,,,,,,,,,DIR001 ,MUHAMMAD GHOUSE AKBAR, -   ," 35,480,000 ",35480000
,,,,,,,,,,,,,DIR002 ,ADIL MATCHESWALA, -   ," 11,500,000 ",11500000
,,,,,,,,,,,,,DIR004,SERVICE INDUSTIRES CAPITAL (PVT) LIMITED, -   ," 26,390,900 ",
,,,,,,,,,,,,10010002,,SHARE PREMIUM , -   ," 289,740,785 ",
,,,,,,,,,,,,,C00001,COMPANY, -   ," 289,740,785 ",
,,,,,,,,,,,,,,,,,
,,,,,,,,1002,UN APPROPRIATED PROFIT/(LOSS) , -   , -   ,10020001,,UN APPROPRIATED PROFIT/(LOSS) , -   ," 2,269,521,093 ",
,,,,,,,,,,,,,C00001,COMPANY, -   ," 2,269,521,093 ",
,,,,,,,,,,,,10020002,,DIVIDEND ," 961,134,738 ", -   ,
,,,,,,,,,,,,,DIR001 ,MUHAMMAD GHOUSE AKBAR," 42,576,000 ", -   ,
,,,,,,,,,,,,,DIR002 ,ADIL MATCHESWALA," 13,800,000 ", -   ,
,,,,,,,,,,,,,C00001,COMPANY," 873,089,658 ", -   ,
,,,,,,,,,,,,,DIR004,SERVICE INDUSTIRES CAPITAL (PVT) LIMITED," 31,669,080 ", -   ,
,,,,,,,,,,,,,,,,,
,,,,,,,,1003,RESERVES , -   , -   ,10030001,,CAPITAL RSERVES , -   , -   ,
,,,,,,,,,,,,10030002,,REVENUE RESERVES , -   , -   ,
,,,,,,,,,,,,10030003,,ADVANCE AGAINST EQUITY , -   , -   ,
,,,,,,,,,,,,,,,,,
,,,,,,,,1004,SUBORDINATED LOAN , -   , -   ,10040001,,LOAN FROM DIRECTORS , -   , -   ,
,,,,,,,,,,,,,,,,,
2,LIABILITIES, -   ," 2,302 ",11,NON CURRENT LIABILITIES , -   ," 55,150,005 ",1101,LONG TERM LOAN-SECURED , -   , -   ,11010001,,LT LOAN-SECURED , -   , -   ,
,,,,,,,,,,,,11010002,,DEFERRED GRANT , -   , -   ,
,,,,,,,,,,,,,,,,,
